"legislation_id","jurisdiction","legislation_type","act_name","legislation_name","url","agencies"
41,"Federal","Regulations","Canada Shipping Act, 2001","Cross-border Movement of Hazardous Waste and Hazardous Recyclable Material Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-25/index.html","Minister of Fisheries and Oceans; Minister of Transport"
69,"Federal","Regulations","Canada Shipping Act, 2001","Environmental Response Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-252/index.html","Minister of Fisheries and Oceans; Minister of Transport"
81,"Federal","Regulations","Canada Shipping Act, 2001","Fishing Vessel Safety Regulations","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1486/index.html","Minister of Fisheries and Oceans; Minister of Transport"
186,"Federal","Regulations","Canada Shipping Act, 2001","Vessel Pollution and Dangerous Chemicals Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-69/index.html","Minister of Fisheries and Oceans; Minister of Transport"
26,"Federal","Act","Canada Water Act","Canada Water Act","https://laws-lois.justice.gc.ca/eng/acts/C-11/index.html","Minister of the Environment"
27,"Federal","Act","Canada Water Agency Act","Canada Water Agency Act","https://laws-lois.justice.gc.ca/eng/acts/C-11.001/index.html","Minister of the Environment"
28,"Federal","Act","Canada Wildlife Act","Canada Wildlife Act","https://laws-lois.justice.gc.ca/eng/acts/W-9/index.html","Minister of the Environment"
29,"Federal","Act","Canadian Energy Regulator Act","Canadian Energy Regulator Act","https://laws-lois.justice.gc.ca/eng/acts/C-15.1/index.html","Minister of Natural Resources"
30,"Federal","Act","Canadian Environmental Protection Act, 1999","Canadian Environmental Protection Act, 1999","https://laws-lois.justice.gc.ca/eng/acts/C-15.31/index.html","Minister of the Environment"
48,"Federal","Regulations","Canadian Environmental Protection Act, 1999","Disposal at Sea Permit Application Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2014-177/index.html","Minister of the Environment"
49,"Federal","Regulations","Canadian Environmental Protection Act, 1999","Disposal at Sea Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2001-275/index.html","Minister of the Environment"
66,"Federal","Regulations","Canadian Environmental Protection Act, 1999","Environmental Emergency Regulations, 2019","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-51/index.html","Minister of the Environment"
120,"Federal","Regulations","Canadian Environmental Protection Act, 1999","Microbeads in Toiletries Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-111/index.html","Minister of the Environment"
132,"Federal","Regulations","Canadian Environmental Protection Act, 1999","New Substances Notification Regulations (Organisms)","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2005-248/index.html","Minister of the Environment"
142,"Federal","Regulations","Canadian Environmental Protection Act, 1999","PCB Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-273/index.html","Minister of the Environment"
145,"Federal","Regulations","Canadian Environmental Protection Act, 1999","Persistence and Bioaccumulation Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2000-107/index.html","Minister of the Environment"
155,"Federal","Regulations","Canadian Environmental Protection Act, 1999","Prohibition of Certain Toxic Substances Regulations, 2012","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-285/index.html","Minister of the Environment"
174,"Federal","Regulations","Canadian Environmental Protection Act, 1999","Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-197/index.html","Minister of the Environment"
31,"Federal","Act","Canadian Navigable Waters Act","Canadian Navigable Waters Act","https://laws-lois.justice.gc.ca/eng/acts/N-22/index.html","Minister of Transport"
114,"Federal","Order","Canadian Navigable Waters Act","Major Works Order","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-320/index.html","Minister of Transport"
122,"Federal","Order","Canadian Navigable Waters Act","Minor Works Order","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-170/index.html","Minister of Transport"
131,"Federal","Regulations","Canadian Navigable Waters Act","Navigable Waters Works Regulations","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1232/index.html","Minister of Transport"
33,"Federal","Act","Coastal Fisheries Protection Act","Coastal Fisheries Protection Act","https://laws-lois.justice.gc.ca/eng/acts/C-33/index.html","Minister of Fisheries and Oceans; North Pacific Fisheries Commission"
34,"Federal","Regulations","Coastal Fisheries Protection Act","Coastal Fisheries Protection Regulations","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._413/index.html","Minister of Fisheries and Oceans; North Pacific Fisheries Commission"
12,"Provincial","Regulations","Community Charter","Approval Exemption Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/268_2005","Housing and Municipal Affairs"
170,"Provincial","Regulations","Community Charter","Spheres of Concurrent Jurisdiction Environment and Wildlife Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/144_2004","Housing and Municipal Affairs"
43,"Federal","Act","Department Of Fisheries And Oceans Act","Department of Fisheries and Oceans Act","https://laws-lois.justice.gc.ca/eng/acts/F-15/index.html","Minister of Fisheries and Oceans"
44,"Federal","Act","Department Of The Environment Act","Department of the Environment Act","https://laws-lois.justice.gc.ca/eng/acts/E-10/index.html","Minister of the Environment"
47,"Provincial","Act","Dike Maintenance Act","Dike Maintenance Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96095_01","Water, Land and Resource Stewardship"
50,"Federal","Act","Dominion Water Power Act","Dominion Water Power Act","https://laws-lois.justice.gc.ca/eng/acts/W-4/index.html","Minister of Indigenous Service; Minister of Northern Affairs"
51,"Federal","Regulations","Dominion Water Power Act","Dominion Water Power Regulations","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1603/index.html","Minister of Indigenous Service; Minister of Northern Affairs"
53,"Provincial","Act","Drainage, Ditch And Dike Act","Drainage, Ditch and Dike Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96102_01","Water, Land and Resource Stewardship"
54,"Provincial","Act","Drinking Water Protection Act","Drinking Water Protection Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/01009_01","Water, Land and Resource Stewardship; Health"
55,"Provincial","Regulations","Drinking Water Protection Act","Drinking Water Protection Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/200_2003","Water, Land and Resource Stewardship; Health"
56,"Provincial","Act","Ecological Reserve Act","Ecological Reserve Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96103_01","Environment and Parks"
57,"Provincial","Regulations","Ecological Reserve Act","Ecological Reserve Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/196_2023","Environment and Parks"
58,"Provincial","Act","Emergency And Disaster Management Act","Emergency and Disaster Management Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/23037","Emergency Management and Climate Readiness"
52,"Provincial","Regulations","Energy Resource Activities Act","Dormancy and Shutdown Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/112_2019","Energy and Climate Solutions; Attorney General and Deputy Premier"
59,"Provincial","Regulations","Energy Resource Activities Act","Emergency Management Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/217_2017","Energy and Climate Solutions; Attorney General and Deputy Premier"
60,"Provincial","Act","Energy Resource Activities Act","Energy Resource Activities Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/08036_01","Energy and Climate Solutions; Attorney General and Deputy Premier"
61,"Provincial","Regulations","Energy Resource Activities Act","Energy Resource Road Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/56_2013","Energy and Climate Solutions; Attorney General and Deputy Premier"
68,"Provincial","Regulations","Energy Resource Activities Act","Environmental Protection and Management Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/200_2010","Energy and Climate Solutions; Attorney General and Deputy Premier"
63,"Provincial","Act","Environment And Land Use Act","Environment and Land Use Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96117_01","Water, Land and Resource Stewardship"
64,"Provincial","Act","Environmental Assessment Act","Environmental Assessment Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18051","Environment and Parks"
165,"Provincial","Regulations","Environmental Assessment Act","Reviewable Projects Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/243_2019","Environment and Parks"
9,"Provincial","Regulations","Environmental Management Act","Antisapstain Chemical Waste Control Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/300_90","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
35,"Provincial","Code","Environmental Management Act","Code of Practice for Agricultural Environmental Management","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/8_2019","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
36,"Provincial","Code","Environmental Management Act","Code of Practice for Industrial Non-Hazardous Waste Landfills Incidental to the Wood Processing Industry","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/263_2010","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
38,"Provincial","Regulations","Environmental Management Act","Conservation Officer Service Authority Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/318_2004","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
39,"Provincial","Regulations","Environmental Management Act","Contaminated Sites Regulation","https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/414786120/03053/reg03053/1341755808/?xsl=/templates/browse.xsl","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
65,"Provincial","Regulations","Environmental Management Act","Environmental Data Quality Assurance Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/301_90","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
67,"Provincial","Act","Environmental Management Act","Environmental Management Act","https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/414786120/03053/766933851/?xsl=/templates/browse.xsl","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
107,"Provincial","Regulations","Environmental Management Act","Land-based Finfish Waste Control Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/68_94","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
123,"Provincial","Regulations","Environmental Management Act","Municipal Wastewater Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/87_2012","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
159,"Provincial","Regulations","Environmental Management Act","Pulp Mill and Pulp and Paper Mill Liquid Effluent Control Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/470_90","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
171,"Provincial","Regulations","Environmental Management Act","Spill Contingency Planning Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/186_2017","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
172,"Provincial","Regulations","Environmental Management Act","Spill Preparedness, Response and Recovery Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/185_2017","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
173,"Provincial","Regulations","Environmental Management Act","Spill Reporting Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/187_2017","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
187,"Provincial","Regulations","Environmental Management Act","Waste Discharge Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/320_2004","Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship"
135,"Provincial","Regulations","Environmental Management Act And Public Health Act","Organic Matter Recycling Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18_2002","Health"
70,"Provincial","Act","Farm Practices Protection Act","Farm Practices Protection (Right to Farm) Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96131_01","Agriculture and Food"
168,"Provincial","Regulations","Farm Practices Protection Act","Specialty Farm Operations Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/53_99","Agriculture and Food"
19,"Provincial","Regulations","Farming And Fishing Industries Development Act","British Columbia Salmon Marketing Council Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/302_91","Agriculture and Food"
71,"Provincial","Act","Farming And Fishing Industries Development Act","Farming and Fishing Industries Development Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96134_01","Agriculture and Food"
72,"Provincial","Act","Fish And Seafood Act","Fish and Seafood Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15014","Agriculture and Food; Water, Land and Resource Stewardship"
73,"Provincial","Regulations","Fish And Seafood Act","Fish and Seafood Licensing Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/261_2016","Agriculture and Food; Water, Land and Resource Stewardship"
1,"Federal","Regulations","Fisheries Act","Aboriginal Communal Fishing Licences Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-332/page-1.html","Minister of Fisheries and Oceans; Minister of the Environment"
13,"Federal","Regulations","Fisheries Act","Aquaculture Activities Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2015-177/page-1.html","Minister of Fisheries and Oceans; Minister of the Environment"
14,"Federal","Regulations","Fisheries Act","Aquatic Invasive Species Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2015-121/page-1.html","Minister of Fisheries and Oceans; Minister of the Environment"
16,"Federal","Regulations","Fisheries Act","Authorizations Concerning Fish and Fish Habitat Protection Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-286/page-1.html","Minister of Fisheries and Oceans; Minister of the Environment"
20,"Federal","Regulations","Fisheries Act","British Columbia Sport Fishing Regulations, 1996","https://laws-lois.justice.gc.ca/eng/regulations/SOR-96-137/page-1.html","Minister of Fisheries and Oceans; Minister of the Environment"
45,"Federal","Regulations","Fisheries Act","Deposit Out of the Normal Course of Events Notification Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2011-91/page-1.html","Minister of Fisheries and Oceans; Minister of the Environment"
74,"Federal","Regulations","Fisheries Act","Fish Toxicant Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-88-258/page-1.html","Minister of Fisheries and Oceans; Minister of the Environment"
75,"Federal","Act","Fisheries Act","Fisheries Act","https://laws-lois.justice.gc.ca/eng/acts/F-14/page-1.html","Minister of Fisheries and Oceans; Minister of the Environment"
77,"Federal","Regulations","Fisheries Act","Fishery (General) Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-53/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
86,"Federal","Regulations","Fisheries Act","Foreign Vessel Fishing Regulations","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._815/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
115,"Federal","Regulations","Fisheries Act","Management of Contaminated Fisheries Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-90-351/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
117,"Federal","Regulations","Fisheries Act","Marine Mammal Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-56/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
118,"Federal","Regulations","Fisheries Act","Meat and Poultry Products Plant Liquid Effluent Regulations","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._818/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
119,"Federal","Regulations","Fisheries Act","Metal and Diamond Mining Effluent Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-222/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
136,"Federal","Regulations","Fisheries Act","Pacific Aquaculture Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2010-270/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
137,"Federal","Regulations","Fisheries Act","Pacific Fishery Management Area Regulations, 2007","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2007-77/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
138,"Federal","Regulations","Fisheries Act","Pacific Fishery Regulations, 1993",,"Minister of Fisheries and Oceans; Minister of the Environment"
148,"Federal","Regulations","Fisheries Act","Petroleum Refinery Liquid Effluent Regulations","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._828/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
158,"Federal","Regulations","Fisheries Act","Pulp and Paper Effluent Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-92-269/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
188,"Federal","Regulations","Fisheries Act","Wastewater Systems Effluent Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-139/index.html","Minister of Fisheries and Oceans; Minister of the Environment"
76,"Federal","Act","Fisheries Development Act","Fisheries Development Act","https://laws-lois.justice.gc.ca/eng/acts/F-21/index.html","Minister of Fisheries and Oceans"
78,"Federal","Act","Fishing And Recreational Harbours Act","Fishing and Recreational Harbours Act","https://laws-lois.justice.gc.ca/eng/acts/F-24/index.html","Minister of Fisheries and Oceans"
79,"Federal","Regulations","Fishing And Recreational Harbours Act","Fishing and Recreational Harbours Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-78-767/index.html","Minister of Fisheries and Oceans"
80,"Provincial","Act","Fishing Collective Bargaining Act","Fishing Collective Bargaining Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96150_01","Labour"
84,"Provincial","Act","Flood Relief Act","Flood Relief Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96151_01","Water, Land and Resource Stewardship"
85,"Federal","Act","Foreign Missions And International Organizations Act","Foreign Missions and International Organizations Act","https://laws-lois.justice.gc.ca/eng/acts/F-29.4/index.html","Minister of Foreign Affairs"
87,"Provincial","Act","Forest Act","Forest Act","https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/1198514681/96157/1707335304/?xsl=/templates/browse.xsl","Finance; Forests"
89,"Provincial","Regulations","Forest And Range Practices Act","Forest Planning and Practices Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14_2004","Attorney General and Deputy Premier; Environment and Parks; Finance; Forests; Water, Land and Resource Stewardship"
91,"Provincial","Regulations","Forest And Range Practices Act","Forest Service Road Use Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/70_2004","Attorney General and Deputy Premier; Environment and Parks; Finance; Forests; Water, Land and Resource Stewardship"
88,"Provincial","Act","Forest And Range Practices Act","Forest and Range Practices Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02069_01","Attorney General and Deputy Premier; Environment and Parks; Finance; Forests; Water, Land and Resource Stewardship"
94,"Provincial","Regulations","Forest And Range Practices Act","Government Actions Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/582_2004","Attorney General and Deputy Premier; Environment and Parks; Finance; Forests; Water, Land and Resource Stewardship"
106,"Provincial","Regulations","Forest And Range Practices Act","Invasive Plants Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18_2004","Attorney General and Deputy Premier; Environment and Parks; Finance; Forests; Water, Land and Resource Stewardship"
162,"Provincial","Regulations","Forest And Range Practices Act","Range Planning and Practices Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/19_2004","Attorney General and Deputy Premier; Environment and Parks; Finance; Forests; Water, Land and Resource Stewardship"
200,"Provincial","Regulations","Forest And Range Practices Act","Woodlot Licence Planning and Practices Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/21_2004","Attorney General and Deputy Premier; Environment and Parks; Finance; Forests; Water, Land and Resource Stewardship"
90,"Provincial","Act","Forest Practices Code Of British Columbia Act","Forest Practices Code of British Columbia Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96159_01","Forests; Finance"
157,"Provincial","Regulations","Forest Practices Code Of British Columbia Act","Provincial Forest Use Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/176_95","Forests; Finance"
92,"Federal","Act","Freshwater Fish Marketing Act","Freshwater Fish Marketing Act","https://laws-lois.justice.gc.ca/eng/acts/F-13/index.html","Minister of Fisheries and Oceans"
95,"Provincial","Act","Greenbelt Act","Greenbelt Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96176_01","Water, Land and Resource Stewardship"
98,"Provincial","Act","Hydro And Power Authority Act","Hydro and Power Authority Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96212_01","Energy and Climate Solutions"
99,"Federal","Act","Impact Assessment Act","Impact Assessment Act","https://laws-lois.justice.gc.ca/eng/acts/I-2.75/index.html","Minister of the Environment"
134,"Federal","Order","Impact Assessment Act","Order Designating Certain Excluded Classes of Projects","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2025-60/index.html","Minister of the Environment"
149,"Federal","Regulations","Impact Assessment Act","Physical Activities Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-285/page-1.html","Minister of the Environment"
100,"Provincial","Act","Integrated Pest Management Act","Integrated Pest Management Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03058_01","Environment and Parks"
101,"Provincial","Regulations","Integrated Pest Management Act","Integrated Pest Management Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/604_2004","Environment and Parks"
102,"Federal","Regulations","International Boundary Waters Treaty Act","International Boundary Waters Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-445/index.html","Minister of Foreign Affairs"
103,"Federal","Act","International Boundary Waters Treaty Act","International Boundary Waters Treaty Act","https://laws-lois.justice.gc.ca/eng/acts/I-17/index.html","Minister of Foreign Affairs"
104,"Federal","Act","International River Improvements Act","International River Improvements Act","https://laws-lois.justice.gc.ca/eng/acts/I-20/index.html","Minister of the Environment"
105,"Federal","Regulations","International River Improvements Act","International River Improvements Regulations","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._982/index.html","Minister of the Environment"
108,"Provincial","Act","Land Act","Land Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96245_01","Water, Land and Resource Stewardship"
109,"Provincial","Regulations","Land Act","Land Use Objectives Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/357_2005","Water, Land and Resource Stewardship"
110,"Provincial","Act","Libby Dam Reservoir Act","Libby Dam Reservoir Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96262_01","Water, Land and Resource Stewardship"
111,"Provincial","Act","Maa-nulth First Nations Final Agreement Act Bc","Maa-nulth First Nations Final Agreement Act BC",,
113,"Federal","Act","Maanulth First Nations Final Agreement Act","Maanulth First Nations Final Agreement Act",,
112,"Federal","Act","Maanulth First Nations Final Agreement Act Ca","Maanulth First Nations Final Agreement Act CA","https://laws-lois.justice.gc.ca/eng/acts/M-0.55/index.html",
121,"Provincial","Act","Mines Act","Mines Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96293_01","Mining and Critical Minerals"
129,"Provincial","Act","Natural Resource Compliance Act","Natural Resource Compliance Act","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/11021_01","Forests"
130,"Provincial","Regulations","Natural Resource Compliance Act","Natural Resource Officer Authority Regulation","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/38_2012","Forests"
18,"Federal","Regulations","Oceans Act","Bowie Seamount Marine Protected Area Regulations","https://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-124/index.html","Minister of Fisheries and Oceans"
82,"Federal","Order","Oceans Act","Fishing Zones of Canada (Zones 1, 2 and 3) Order","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1547/index.html","Minister of Fisheries and Oceans"
83,"Federal","Order","Oceans Act","Fishing Zones of Canada (Zones 4 and 5) Order","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1548/index.html","Minister of Fisheries and Oceans"
133,"Federal","Act","Oceans Act","Oceans Act","https://laws-lois.justice.gc.ca/eng/acts/O-2.4/index.html","Minister of Fisheries and Oceans"
175,"Federal","Order","Oceans Act","Territorial Sea Geographical Coordinates Order","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1550/page-1.html","Minister of Fisheries and Oceans"
32,"Provincial","Regulations","Park Act","Class C Parks Regulations","https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/227_67","Environment and Parks"
