"act_name","jurisdiction","Section","Heading","implement_type","responsible_official","discretion_type","Paragraph"
"Animal Health Act","Provincial","27","Quarantine zone orders","order","chief","discretionary","27  (1) If the chief veterinarian reasonably believes, based on the results of a diagnostic examination, that a reportable disease is present, the chief veterinarian may make an order establishing a quarantine zone on an area described in the order."
"Animal Health Act","Provincial","27","Quarantine zone orders","order","chief","discretionary","(3) A quarantine zone order may include any terms and conditions the chief veterinarian considers necessary to minimize the risk of the reportable disease being transmitted or spread, including one or more of the following:"
"Animal Health Act","Provincial","28","Surveillance zone orders","order","chief","discretionary","28  (1) The chief veterinarian may make an order establishing a surveillance zone around a quarantine zone."
"Animal Health Act","Provincial","28","Surveillance zone orders","order","chief","discretionary","(3) A surveillance zone order may include any terms and conditions the chief veterinarian considers necessary to do one or both of the following:"
"Animal Health Act","Provincial","36","Deemed control zones","order","minister","discretionary","36  (1) If the minister reasonably believes that it is necessary for one or both of the following purposes, the minister may make an order deeming an area described in the order to be a temporary control zone:"
"Animal Health Act","Provincial","36","Deemed control zones","order","minister","discretionary","(3) A control zone order may include any terms and conditions the minister considers necessary for a purpose set out in subsection (1), including one or more of the following:"
"Animal Health Act","Provincial","66","Duties when authority to act ends","designation; appointment; requirement","chief; inspector","discretionary","(2) In respect of powers exercised under this Part by a person designated as an inspector under section 62 [emergency inspectors or veterinarians], the chief veterinarian may require a person appointed or retained as an inspector under section 71 [appointment of inspectors] to take one or more actions referred to in subsection (1) of this section on behalf of a person designated under section 62."
"Animal Health Act","Provincial","67","Role and general powers of minister","agreement","minister","discretionary","(2) The minister may enter into agreements with any person or body, including the government of another jurisdiction, for one or more of the following purposes:"
"Animal Health Act","Provincial","68","Chief veterinarian","appointment","minister; chief","discretionary","68  (1) The minister may appoint as the chief veterinarian a person who is"
"Animal Health Act","Provincial","68","Chief veterinarian","appointment","minister; chief","mandatory","(4) If the minister appoints a deputy or person to act for the chief veterinarian, the appointed person must meet the requirements of subsection (1)."
"Animal Health Act","Provincial","71","Appointment of inspectors","appointment","chief","discretionary","71  (1) Subject to subsection (6), the chief veterinarian may appoint employees within a ministry of the government as inspectors under this Act and, for this purpose, may"
"Animal Health Act","Provincial","71","Appointment of inspectors","requirement","chief; inspector","discretionary","(3) Despite subsection (1) but subject to subsection (6), the chief veterinarian may retain persons as necessary to be inspectors and, for this purpose, delegate to those persons any power or duty of an inspector."
"Animal Health Act","Provincial","71","Appointment of inspectors","appointment","inspector","mandatory","(6) A person must not be appointed or retained as an inspector unless the person"
"Animal Health Act","Provincial","94","Regulations respecting disease prevention and control","regulation; order_in_council","governor_in_council; council","discretionary","(2) The Lieutenant Governor in Council may make regulations establishing control zones for a purpose described in section 36 (1) [deemed control zones] in respect of a notifiable or reportable disease."
"Assessment Act","Provincial","20.1","Special valuation rules for dams, power plants and substations","order; order_in_council; approval; assessment; establishment","governor_in_council; authority; council","discretionary","(4) For the purposes of this section, subject to the prior approval of the Lieutenant Governor in Council, the assessment authority by order may establish or adopt by reference manuals establishing rates, formulas, rules or principles for the calculation of cost."
"Assessment Act","Provincial","20.1","Special valuation rules for dams, power plants and substations","regulation; order_in_council","governor_in_council; council","discretionary","(4.1) For the purposes of this section, the Lieutenant Governor in Council may make regulations"
"Assessment Act","Provincial","22","Special rules for railway property","regulation; order_in_council","governor_in_council; council","discretionary","22  (1) The Lieutenant Governor in Council may make regulations as follows:"
"Assessment Act","Provincial","22","Special rules for railway property","regulation; order_in_council","governor_in_council; minister; council","discretionary","(3) The Lieutenant Governor in Council may make a regulation under this section only after the minister has consulted with representatives of the Union of British Columbia Municipalities respecting the proposed regulation."
"Assessment Act","Provincial","22","Special rules for railway property","regulation; order_in_council","governor_in_council; council","discretionary","(5) For the 1996 taxation year, the Lieutenant Governor in Council may make a regulation under this section only in relation to taxes under the School Act."
"Assessment Act","Provincial","31","Appointment of property assessment review panels","assessment; review; appointment","minister","mandatory","31  (1) The minister must appoint property assessment review panels, each comprised of 3 members, to review and consider"
"Assessment Act","Provincial","31","Appointment of property assessment review panels","designation; appointment","minister","mandatory","(2) The minister must appoint and designate one member of each panel as the chair of the panel, after a merit-based process, to hold office for an initial term of 3 to 5 years."
"Assessment Act","Provincial","31","Appointment of property assessment review panels","appointment","minister","discretionary","(3) The minister may appoint members of a panel, other than the chair, after a merit-based process, to hold office for an initial term of 2 to 4 years."
"Assessment Act","Provincial","31","Appointment of property assessment review panels","appointment; requirement","minister","discretionary","(6) If a member is absent or incapacitated for an extended period of time or expects to be absent for an extended period of time, the minister may appoint another person, who would otherwise be qualified for appointment as a member, to replace the member until the member returns to full duty or the member's term expires, whichever comes first."
"Assessment Act","Provincial","45","Staff of the board","appointment","board","discretionary","45  (1) The chair of the board may appoint, in accordance with the Public Service Act, employees necessary to enable the board to perform its duties."
"Assessment Act","Provincial","46","General board powers","designation","board","discretionary","(3) The chair may in writing delegate the powers of the board under subsection (2) (a) and (b) to a person designated by the chair."
