paragraph_id,legislation_id,section,heading,paragraph
85,2,1,Definitions,"""non-adhering residential use"" means any of the following:"
86,2,1,Definitions,(a) an additional residence;
87,2,1,Definitions,(b) a principal residence having a total floor area that is more than 500 m2;
88,2,1,Definitions,(c) a use of a residential structure that contravenes the regulations;
89,2,1,Definitions,"""non-farm use"" means a use of agricultural land other than a farm use, a residential use or a soil or fill use;"
90,2,1,Definitions,"""notice to suspend negotiations"" means a notice to suspend negotiations sent by one party to an agreement in principle to the other parties;"
91,2,1,Definitions,"""official"" means the chief executive officer and any employee of the commission or a person who is designated by name or title by the chief executive officer to be an official;"
92,2,1,Definitions,"""owner"", subject to subsection (2), means"
93,2,1,Definitions,"(a) in relation to land, other than treaty lands, registered in the records of the land title office, the person registered in those records as the fee simple owner of the land,"
94,2,1,Definitions,"(b) in relation to settlement lands,"
95,2,1,Definitions,"(i)  if an agreement under this Act between a first nation government and the commission defines ""owner"" for the purposes of the application of this Act to the settlement lands of the first nation, a person described by that definition, and"
96,2,1,Definitions,"(ii)  otherwise, the first nation government,"
97,2,1,Definitions,"(c) in relation to land that is vested, under an enactment, in a municipality, a regional district or a local trust committee, the municipality, regional district or local trust committee, as applicable, and"
98,2,1,Definitions,"(d) in relation to Crown land, the government;"
99,2,1,Definitions,"""panel"" means a panel established under section 11;"
100,2,1,Definitions,"""parcel"" means land that is the subject of a single indefeasible title under the Land Title Act;"
101,2,1,Definitions,"""person"" includes a first nation government;"
102,2,1,Definitions,"""principal residence"" means the residence permitted under section 20.1 (1) (a);"
103,2,1,Definitions,"""proposed settlement lands"" means land described in an agreement in principle as the land that will become, in whole or in part,"
104,2,1,Definitions,"(a) the treaty lands of the first nation under a final agreement, or"
105,2,1,Definitions,"(b) the settlement lands of the first nation under a governance agreement among the Province, Canada and the first nation;"
106,2,1,Definitions,"""residential structure"" means a structure used, during all or part of the year and whether fully or partially, as"
107,2,1,Definitions,"(a) a residence,"
108,2,1,Definitions,"(b) if prescribed, accommodation, or"
109,2,1,Definitions,"(c) if prescribed, in relation to a residence or accommodation;"
110,2,1,Definitions,"""residential use"""
111,2,1,Definitions,"(a) means a use of agricultural land for a residential structure, and"
112,2,1,Definitions,(b) does not include a farm use or a soil or fill use;
113,2,1,Definitions,"""settlement lands"" means land, other than land located within a reserve as defined in the Indian Act (Canada), that is subject to the legislative authority of a first nation under"
114,2,1,Definitions,"(a) a treaty and land claims agreement within the meaning of sections 25 and 35 of the Constitution Act, 1982,"
115,2,1,Definitions,"(b) a governance agreement among the Province, Canada and the first nation, or"
116,2,1,Definitions,(c) an enactment of the Province or Canada;
117,2,1,Definitions,"""soil"" includes the entire mantle of unconsolidated material above bedrock other than minerals as defined in the Mineral Tenure Act;"
118,2,1,Definitions,"""soil or fill use"""
119,2,1,Definitions,"(a) means the removal of soil from, or the placement of fill on, agricultural land, and"
120,2,1,Definitions,(b) does not include a farm use or a residential use;
121,2,1,Definitions,"""use or subdivision application"" means an application for permission made under any of the following:"
122,2,1,Definitions,(a) section 20 (2) for a non-farm use;
123,2,1,Definitions,(b) section 20.1 (2) (a) for a non-adhering residential use;
124,2,1,Definitions,(c) section 20.3 (5) for a soil or fill use;
125,2,1,Definitions,(d) section 21 (2) for subdivision.
126,2,1,Definitions,"(2) For the purposes of an inclusion application under section 17 (3), a use or subdivision application or an exclusion application in relation to proposed settlement lands, the first nation government may apply as if it were the owner of those lands from the date that"
127,2,1,Definitions,"(a) an agreement in principle in relation to those lands is approved by each party to it in accordance with the agreement in principle, or"
128,2,1,Definitions,"(b) if a notice to suspend negotiations has earlier taken effect, an agreement among the parties to the agreement in principle to resume negotiations takes effect,"
129,2,1,Definitions,until the earlier of the following dates:
130,2,1,Definitions,(c) the date an enactment of the Province or Canada establishes all or part of the proposed settlement lands as settlement lands;
131,2,1,Definitions,(d) the date that a notice to suspend negotiations takes effect.
132,2,1,Definitions,"(3) For the period that a first nation government is authorized to make an application in relation to proposed settlement lands, the owner of that land may not make an application."
133,2,2,Application of other Acts,"2		  (1) This Act and the regulations are not subject to any other enactment, whenever enacted, except the Interpretation Act, the Environment and Land Use Act and the Environmental Management Act and as provided in this Act."
134,2,2,Application of other Acts,"(1.1) Despite subsection (1) and section 3, if a regulation under the Water Sustainability Act requires that the commission consider a water sustainability plan in making decisions in relation to an area that is subject to the water sustainability plan, the commission must comply with the regulation."
135,2,2,Application of other Acts,"(1.2) Subsection (1) does not apply in relation to the Haida Nation Recognition Act and, despite section 3 of this Act, the Haida Nation Recognition Act prevails to the extent of any conflict or inconsistency with this Act."
136,2,2,Application of other Acts,"(2) Despite section 14 (2) of the Interpretation Act, this Act binds the government."
137,2,3,Power under other Acts,3		  A minister or an agent of the government must not exercise a power granted under another enactment except in accordance with this Act and the regulations.
138,2,4,Commission established,"4
		  The Provincial Agricultural Land Commission is established as a corporation consisting of the members appointed under section 5."
139,2,4.1,Administrative regions,"4.1
		  The following administrative regions are established, consisting of the geographic areas of British Columbia as set out in the Schedule:"
140,2,4.1,Administrative regions,(a) the Interior Administrative Region;
141,2,4.1,Administrative regions,(b) the Island Administrative Region;
142,2,4.1,Administrative regions,(c) the Kootenay Administrative Region;
143,2,4.1,Administrative regions,(d) the North Administrative Region;
144,2,4.1,Administrative regions,(e) the Okanagan Administrative Region;
145,2,4.1,Administrative regions,(f) the South Coast Administrative Region.
146,2,5,Commission members,"5
		  (1) The commission consists of at least 11 members appointed under this section as follows:"
147,2,5,Commission members,(a) the Lieutenant Governor in Council must appoint the chair;
148,2,5,Commission members,(b) the minister must appoint the other members after consulting with the chair;
149,2,5,Commission members,"(c) appointments must be made using a merit-based process to select individuals who are knowledgeable in matters relating to agriculture, land use planning, local government or first nation government;"
150,2,5,Commission members,"(d) members must be residents of administrative regions, with at least one but no more than 3 members, other than the chair, representing each region;"
151,2,5,Commission members,"(e) if more than one member represents the same administrative region, each member must be a resident of a different regional district incorporated under the Local Government Act."
152,2,5,Commission members,(2) The chair may appoint one or more vice chairs from the persons appointed under subsection (1) (b).
153,2,5,Commission members,"(3) If a member, other than the chair, ceases to be a resident of the administrative region in which the member was a resident at the time of appointment, the member's appointment expires on the date on which the member's residency ceases."
154,2,5,Commission members,"(4) If there is no member, other than the chair, who is a resident of a particular administrative region, the minister must within 90 days appoint a resident of that administrative region as a member in accordance with subsection (1)."
155,2,5,Commission members,(5) The members are the board of directors of the commission.
156,2,5.1,Application of Administrative Tribunals Act to commission generally,5.1		  The following provisions of the Administrative Tribunals Act apply to the commission:
157,2,5.1,Application of Administrative Tribunals Act to commission generally,(a) Part 1 [Interpretation and Application];
158,2,5.1,Application of Administrative Tribunals Act to commission generally,(b) Part 2 [Appointments];
159,2,5.1,Application of Administrative Tribunals Act to commission generally,(c) Part 3 [Clustering];
160,2,5.1,Application of Administrative Tribunals Act to commission generally,(d) section 26 (6) [decision of majority decision of panel];
161,2,5.1,Application of Administrative Tribunals Act to commission generally,(d.1) section 30 [tribunal duties];
162,2,5.1,Application of Administrative Tribunals Act to commission generally,(e) section 44 [tribunal without jurisdiction over constitutional questions];
163,2,5.1,Application of Administrative Tribunals Act to commission generally,(f) section 46.3 [tribunal without jurisdiction to apply the Human Rights Code];
164,2,5.1,Application of Administrative Tribunals Act to commission generally,(g) Part 8 [Immunities];
165,2,5.1,Application of Administrative Tribunals Act to commission generally,(h) section 59.1 [surveys];
166,2,5.1,Application of Administrative Tribunals Act to commission generally,(i) section 59.2 [reporting];
167,2,5.1,Application of Administrative Tribunals Act to commission generally,(j) section 60 (1) (g) to (i) and (2) [power to make regulations].
168,2,6,Purposes of the commission,6		  (1) The following are the purposes of the commission:
169,2,6,Purposes of the commission,(a) to preserve the agricultural land reserve;
170,2,6,Purposes of the commission,(b) to encourage farming of land within the agricultural land reserve in collaboration with other communities of interest;
171,2,6,Purposes of the commission,"(c) to encourage local governments, first nations, the government and its agents to enable and accommodate farm use of land within the agricultural land reserve and uses compatible with agriculture in their plans, bylaws and policies."
172,2,6,Purposes of the commission,"(2) The commission, to fulfill its purposes under subsection (1), must give priority to protecting and enhancing all of the following in exercising its powers and performing its duties under this Act:"
173,2,6,Purposes of the commission,"(a) the size, integrity and continuity of the land base of the agricultural land reserve;"
174,2,6,Purposes of the commission,(b) the use of the agricultural land reserve for farm use.
175,2,7,Commission as agent of the government,"7
		  The commission is an agent of the government."
176,2,8,Staff of the commission,"8
		  (1) On consultation with the chair of the commission, the Lieutenant Governor in Council may appoint, during pleasure, a chief executive officer of the commission, establish the terms of the appointment and set the remuneration of the chief executive officer."
177,2,8,Staff of the commission,(2) The commission may determine the duties of the chief executive officer.
178,2,8,Staff of the commission,"(3) The chief executive officer may appoint other officers and employees necessary for the operations of the commission, determine their duties and set their remuneration."
179,2,8,Staff of the commission,"(4) The Public Service Act and the Public Service Labour Relations Act apply to the commission and its officers and employees other than the chief executive officer, except that the references to the agency head and a deputy minister in section 22 of the Public Service Act are to be read as references to the chief executive officer."
180,2,8,Staff of the commission,(5) The chief executive officer may retain consultants considered advisable and may set their remuneration.
181,2,9,Operation of the commission,"9		  The commission may pass resolutions and bylaws it considers necessary or advisable for the management and conduct of its affairs, the exercise of its powers and the performance of its duties."
182,2,10,Executive committee,"10
		  (1) An executive committee of the commission is established, comprising the chair of the commission and the vice chairs."
183,2,10,Executive committee,(2) The chair of the commission is the chair of the executive committee.
184,2,10,Executive committee,(3) The commission may delegate to the executive committee any of its powers or duties.
185,2,10,Executive committee,"(4) In relation to a matter delegated by the commission to the executive committee,"
186,2,10,Executive committee,"(a) the executive committee has all the powers and duties of the commission, and"
187,2,10,Executive committee,(b) a decision of the executive committee is for all purposes a decision of the commission.
188,2,11,Establishment of panels,"11
		  (1) The chair of the commission may establish panels consisting of 2 or more members of the commission."
189,2,11,Establishment of panels,"(2) For the purpose of establishing panels, the chair may consider administrative regions, expertise of panel members, the type of application under consideration and any other criteria the chair may determine."
190,2,11,Establishment of panels,(3) The chair may designate a member of the commission to chair a panel.
191,2,11,Establishment of panels,"(4) For the purpose of exercising a power or performing a duty under this Act, the commission, a panel and the executive committee may rely on advice, information or findings from any panel."
192,2,11.1,What panels may do,"11.1
		  (1) The chair of the commission may refer to a panel any of the following:"
193,2,11.1,What panels may do,"(a) subject to subsection (2), a power or duty of the commission under this Act;"
194,2,11.1,What panels may do,"(b) without limiting paragraph (a), the reconsideration of a decision for the purposes of section 33;"
195,2,11.1,What panels may do,"(c) the provision of advice, information or findings to the commission, the executive committee or another panel."
196,2,11.1,What panels may do,(2) The chair must not refer to a panel any of the following:
197,2,11.1,What panels may do,(a) the power to determine an application
198,2,11.1,What panels may do,"(i)  that may be of provincial importance,"
199,2,11.1,What panels may do,"(ii)  that raises an issue that is novel or is otherwise of general importance for the administration of the Act, or"
200,2,11.1,What panels may do,(iii)  if the determination may substantively affect more than one administrative region;
201,2,11.1,What panels may do,(b) an application
202,2,11.1,What panels may do,"(i)  for which the power to decide has been delegated under section 26, or"
203,2,11.1,What panels may do,(ii)  that the chief executive officer may approve under section 27;
204,2,11.1,What panels may do,(c) a reconsideration under section 33.1 of a decision made by a panel.
205,2,11.1,What panels may do,"(3) In relation to an application or other matter referred to a panel,"
206,2,11.1,What panels may do,"(a) the panel has all the powers and duties of the commission, and"
207,2,11.1,What panels may do,(b) a decision made by the panel is for all purposes a decision of the commission.
208,2,12,Financial and corporate matters,"12
		  (1) The financial year end of the commission is March 31 and the Minister of Finance is the fiscal agent of the commission."
209,2,12,Financial and corporate matters,"(3) Subject to subsection (4), the Business Corporations Act does not apply to the commission."
210,2,12,Financial and corporate matters,"(4) The Lieutenant Governor in Council, by order, may declare that specified provisions of the Business Corporations Act apply to the commission."
211,2,14,Completion of proceedings,"14
		  (1) Subject to subsection (2), a member of the commission may take up and carry on to completion any proceeding commenced but not completed before the member's appointment."
212,2,14,Completion of proceedings,(2) A member of the commission who was not present at a meeting to determine an application or other matter may vote on the application or matter only if a summary of the meeting is given to the member before the vote.
213,2,15,Inclusion of land in agricultural land reserve by the commission,"15
		  (1) For the purposes of section 6, the commission may designate land, including Crown land, as agricultural land if the commission is satisfied that the land is suitable for farm use."
214,2,15,Inclusion of land in agricultural land reserve by the commission,"(1.1) Land designated as agricultural land under subsection (1) is included, on designation, in the agricultural land reserve."
215,2,15,Inclusion of land in agricultural land reserve by the commission,"(2) If the final agreement of a treaty first nation provides that the treaty lands of the treaty first nation may not be designated as agricultural land without the consent of the treaty first nation, the commission may not exercise the authority under subsection (1) in relation to those treaty lands without the consent of the treaty first nation."
216,2,17,Inclusion applications,"17
		  (1) Subject to subsection (1.1), if the commission considers that an approval under this subsection carries out the intent of this Act, the commission may approve the inclusion in the agricultural land reserve"
217,2,17,Inclusion applications,"(a) on the commission's own initiative, of any land,"
218,2,17,Inclusion applications,"(b) on application of a local government, of land within the local government's jurisdiction, and"
219,2,17,Inclusion applications,"(c) on application of a first nation government, of land within the first nation's settlement lands."
220,2,17,Inclusion applications,"(1.1) If section 15 (2) applies in relation to treaty lands, an approval under subsection (1) (a) of this section in respect of those treaty lands may be made only with the consent of the treaty first nation."
221,2,17,Inclusion applications,"(2) For a matter under subsection (1), a public hearing must be held in the manner, and after giving the notice, required by the regulations, by"
222,2,17,Inclusion applications,"(a) the commission, if the commission is acting on its own initiative,"
223,2,17,Inclusion applications,"(b) the local government before making an application, and"
224,2,17,Inclusion applications,(c) the first nation government before making an application.
225,2,17,Inclusion applications,"(3) On application by an owner of land, the commission may designate all or part of the land described in the application as land within the agricultural land reserve if the commission considers that the designation carries out the intent of this Act."
226,2,17,Inclusion applications,"(3.1) Land designated as land within the agricultural land reserve under subsection (3) is included, on designation, in the agricultural land reserve."
227,2,17,Inclusion applications,"(4) A decision of the commission granting an application under subsection (3) in relation to proposed settlement lands may not be made effective unless and until those lands are established, in whole or in part, as settlement lands."
228,2,17,Inclusion applications,"(5) Unless a decision granting an application under subsection (3) first becomes effective under subsection (4), the decision expires on the earlier of the following dates:"
229,2,17,Inclusion applications,(a) the date the decision expires according to its terms;
230,2,17,Inclusion applications,(b) the date that a notice to suspend negotiations takes effect.
231,2,17.1,Agricultural land to remain in reserve unless excluded,"17.1
		  Agricultural land may be removed from the agricultural land reserve only by exclusion under section 29.1 (2) (b), 30 (1) (a) or 45 (1)."
232,2,18,Restrictions on approving land uses and subdivision,"18
		  (1) In this section:"
233,2,18,Restrictions on approving land uses and subdivision,"""approving body"" means one or more of the following:"
234,2,18,Restrictions on approving land uses and subdivision,"(a) a local government, a first nation government or an authority;"
235,2,18,Restrictions on approving land uses and subdivision,"(b) a board or other agency established by a local government, a first nation government or an authority;"
236,2,18,Restrictions on approving land uses and subdivision,(c) a person or agency that enters into an agreement under the Local Services Act;
237,2,18,Restrictions on approving land uses and subdivision,"""permitted non-farm use"" means a non-farm use that is permitted under section 25 or 45 or the regulations."
238,2,18,Restrictions on approving land uses and subdivision,(2) An approving body may approve or permit a non-farm use of agricultural land only if the non-farm use is a permitted non-farm use.
239,2,18,Restrictions on approving land uses and subdivision,(3) An approving body may approve or permit a building or structure to be constructed or altered on agricultural land only if the building or structure
