legislation_id,jurisdiction,legislation_type,act_name,legislation_name,url,agencies,current_to_date
18,Federal,Regulations,Oceans Act,Bowie Seamount Marine Protected Area Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-124/index.html,Minister of Fisheries and Oceans,2025-03-31
80,Federal,Order,Oceans Act,"Fishing Zones of Canada (Zones 1, 2 and 3) Order","https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1547/index.html",Minister of Fisheries and Oceans,2025-03-31
81,Federal,Order,Oceans Act,Fishing Zones of Canada (Zones 4 and 5) Order,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1548/index.html",Minister of Fisheries and Oceans,2025-03-17
129,Federal,Act,Oceans Act,Oceans Act,https://laws-lois.justice.gc.ca/eng/acts/O-2.4/index.html,Minister of Fisheries and Oceans,2025-03-17
172,Federal,Order,Oceans Act,Territorial Sea Geographical Coordinates Order,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1550/page-1.html",Minister of Fisheries and Oceans,2025-03-17
31,Provincial,Regulations,Park Act,Class C Parks Regulations,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/227_67,Environment and Parks,2025-04-22
135,Provincial,Act,Park Act,Park Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96344_01,Environment and Parks,2025-05-20
136,Provincial,Regulations,Park Act,"Park, Conservancy and Recreation Area Regulation",https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/180_90_00,Environment and Parks,1990-06-08
137,Federal,Act,Parks Canada Agency Act,Parks Canada Agency Act,https://laws-lois.justice.gc.ca/eng/acts/P-0.4/index.html,Minister of the Environment,2025-03-17
142,Federal,Act,Pest Control Products Act,Pest Control Products Act,https://laws-lois.justice.gc.ca/eng/acts/P-9.01/index.html,Health Canada,2025-03-17
143,Federal,Regulations,Pest Control Products Act,Pest Control Products Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2006-124/index.html,Health Canada,2025-03-31
146,Provincial,Act,Private Managed Forest Land Act,Private Managed Forest Land Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03080_01,Forests,2025-05-20
147,Provincial,Regulations,Private Managed Forest Land Act,Private Managed Forest Land Council Matters Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/372_2004,Forests,2004-07-23
148,Provincial,Regulations,Private Managed Forest Land Act,Private Managed Forest Land Council Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/182_2007,Forests,2007-06-20
149,Provincial,Regulations,Private Managed Forest Land Act; Administrative Tribunals Act,Private Managed Forest Land Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/371_2004,,2004-07-23
5,Provincial,Regulations,Professional Governance Act,Agrologists Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/10_2021,Post-Secondary Education and Future Skills,2021-01-26
10,Provincial,Regulations,Professional Governance Act,Applied Biologists Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/13_2021,Post-Secondary Education and Future Skills,2021-01-26
11,Provincial,Regulations,Professional Governance Act,Applied Science Technologists and Technicians Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12_2021,Post-Secondary Education and Future Skills,2021-01-26
60,Provincial,Regulations,Professional Governance Act,Engineers and Geoscientists Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14_2021,Post-Secondary Education and Future Skills,2021-01-26
150,Provincial,Act,Professional Governance Act,Professional Governance Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18047,Post-Secondary Education and Future Skills,2025-04-29
152,Provincial,Act,Protected Areas Of British Columbia Act,Protected Areas of British Columbia Act,https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/1922970521/00017/2013893993/?xsl=/templates/browse.xsl,,2025-08-26
156,Provincial,Act,Railway Act,Railway Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96395_01,"Transportation and Transit; Water, Land and Resource Stewardship",2025-04-29
157,Provincial,Act,Range Act,Range Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04071_01,Finance; Forests,2025-04-22
159,Provincial,Regulations,Range Act,Range Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/116_2005,Finance; Forests,2005-03-18
163,Provincial,Act,Riparian Areas Protection Act,Riparian Areas Protection Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/97021_01,"Water, Land and Resource Stewardship",2025-05-20
164,Provincial,Regulations,Riparian Areas Protection Act,Riparian Areas Protection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/178_2019,"Water, Land and Resource Stewardship",2019-07-19
140,Federal,Regulations,Species At Risk Act,Permits Authorizing an Activity Affecting Listed Wildlife Species Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2013-140/index.html,Minister of the Environment,2025-03-31
166,Federal,Act,Species At Risk Act,Species at Risk Act,https://laws-lois.justice.gc.ca/eng/acts/S-15.3/index.html,Minister of the Environment,2025-05-05
173,Provincial,Act,The Hunting And Fishing Heritage Act,The Hunting and Fishing Heritage Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02079_01,"Water, Land and Resource Stewardship",2025-04-29
174,Provincial,Act,Tla'amin Final Agreement Act,Tla'amin Final Agreement Act,https://laws-lois.justice.gc.ca/eng/acts/T-11.2/index.html,Minister of Aboriginal Affairs and Northern Development,2025-05-13
175,Provincial,Act,Transport Of Dangerous Goods Act,Transport of Dangerous Goods Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96458_01,,2025-08-26
