legislation_id,jurisdiction,legislation_type,act_name,legislation_name,url,agencies,current_to_date
42,Federal,Act,Department Of The Environment Act,Department of the Environment Act,https://laws-lois.justice.gc.ca/eng/acts/E-10/index.html,,2025-08-21
45,Provincial,Act,Dike Maintenance Act,Dike Maintenance Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96095_01,"Water, Land and Resource Stewardship",2025-04-22
48,Federal,Act,Dominion Water Power Act,Dominion Water Power Act,https://laws-lois.justice.gc.ca/eng/acts/W-4/index.html,Minister of Indigenous Service; Minister of Northern Affairs,2025-03-17
49,Federal,Regulations,Dominion Water Power Act,Dominion Water Power Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1603/index.html",Minister of Indigenous Service; Minister of Northern Affairs,2025-03-17
51,Provincial,Act,"Drainage, Ditch And Dike Act","Drainage, Ditch and Dike Act",https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96102_01,"Water, Land and Resource Stewardship",2025-04-22
52,Provincial,Act,Drinking Water Protection Act,Drinking Water Protection Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/01009_01,"Water, Land and Resource Stewardship",2025-04-22
53,Provincial,Regulations,Drinking Water Protection Act,Drinking Water Protection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/200_2003,"Water, Land and Resource Stewardship",2003-05-16
54,Provincial,Act,Ecological Reserve Act,Ecological Reserve Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96103_01,Environment and Parks,2025-05-20
55,Provincial,Regulations,Ecological Reserve Act,Ecological Reserve Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/196_2023,Environment and Parks,2023-07-18
56,Provincial,Act,Emergency And Disaster Management Act,Emergency and Disaster Management Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/23037,Emergency Management and Climate Readiness,2025-04-22
50,Provincial,Regulations,Energy Resource Activities Act,Dormancy and Shutdown Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/112_2019,Energy and Climate Solutions,2019-05-30
57,Provincial,Regulations,Energy Resource Activities Act,Emergency Management Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/217_2017,Energy and Climate Solutions,2017-11-30
58,Provincial,Act,Energy Resource Activities Act,Energy Resource Activities Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/08036_01,Energy and Climate Solutions,2025-04-22
59,Provincial,Regulations,Energy Resource Activities Act,Energy Resource Road Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/56_2013,Energy and Climate Solutions,2013-02-19
66,Provincial,Regulations,Energy Resource Activities Act,Environmental Protection and Management Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/200_2010,Energy and Climate Solutions,2010-06-25
61,Provincial,Act,Environment And Land Use Act,Environment and Land Use Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96117_01,"Water, Land and Resource Stewardship",2025-04-22
62,Provincial,Act,Environmental Assessment Act,Environmental Assessment Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18051,Environment and Parks,2025-05-13
162,Provincial,Regulations,Environmental Assessment Act,Reviewable Projects Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/243_2019,Environment and Parks,2019-11-29
9,Provincial,Regulations,Environmental Management Act,Antisapstain Chemical Waste Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/300_90,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",1990-08-31
34,Provincial,Code,Environmental Management Act,Code of Practice for Agricultural Environmental Management,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/8_2019,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",2019-01-23
35,Provincial,Code,Environmental Management Act,Code of Practice for Industrial Non-Hazardous Waste Landfills Incidental to the Wood Processing Industry,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/263_2010,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",2010-09-16
36,Provincial,Regulations,Environmental Management Act,Conservation Officer Service Authority Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/318_2004,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",2004-07-08
37,Provincial,Regulations,Environmental Management Act,Contaminated Sites Regulation,https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/414786120/03053/reg03053/1341755808/?xsl=/templates/browse.xsl,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",1996-12-16
63,Provincial,Regulations,Environmental Management Act,Environmental Data Quality Assurance Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/301_90,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",1990-08-31
65,Provincial,Act,Environmental Management Act,Environmental Management Act,https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/414786120/03053/766933851/?xsl=/templates/browse.xsl,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",2025-05-13
105,Provincial,Regulations,Environmental Management Act,Land-based Finfish Waste Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/68_94,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",1994-03-03
119,Provincial,Regulations,Environmental Management Act,Municipal Wastewater Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/87_2012,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",2012-04-20
155,Provincial,Regulations,Environmental Management Act,Pulp Mill and Pulp and Paper Mill Liquid Effluent Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/470_90,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",1990-12-13
168,Provincial,Regulations,Environmental Management Act,Spill Contingency Planning Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/186_2017,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",2017-10-13
169,Provincial,Regulations,Environmental Management Act,"Spill Preparedness, Response and Recovery Regulation",https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/185_2017,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",2017-10-13
170,Provincial,Regulations,Environmental Management Act,Spill Reporting Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/187_2017,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",2017-10-13
182,Provincial,Regulations,Environmental Management Act,Waste Discharge Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/320_2004,"Attorney General and Deputy Premier; Environment and Parks; Water, Land and Resource Stewardship",2004-07-08
131,Provincial,Regulations,Environmental Management Act And Public Health Act,Organic Matter Recycling Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18_2002,Health,2002-02-05
68,Provincial,Act,Farm Practices Protection Act,Farm Practices Protection (Right to Farm) Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96131_01,Agriculture and Food,2025-04-22
165,Provincial,Regulations,Farm Practices Protection Act,Specialty Farm Operations Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/53_99,Agriculture and Food,1999-03-04
19,Provincial,Regulations,Farming And Fishing Industries Development Act,British Columbia Salmon Marketing Council Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/302_91,Agriculture and Food,1991-10-25
69,Provincial,Act,Farming And Fishing Industries Development Act,Farming and Fishing Industries Development Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96134_01,Agriculture and Food,2025-05-13
70,Provincial,Act,Fish And Seafood Act,Fish and Seafood Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15014,"Agriculture and Food; Water, Land and Resource Stewardship",2025-04-30
71,Provincial,Regulations,Fish And Seafood Act,Fish and Seafood Licensing Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/261_2016,"Agriculture and Food; Water, Land and Resource Stewardship",2016-11-07
1,Federal,Regulations,Fisheries Act,Aboriginal Communal Fishing Licences Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-332/page-1.html,Minister of Fisheries and Oceans; Minister of the Environment,2025-05-05
13,Federal,Regulations,Fisheries Act,Aquaculture Activities Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2015-177/page-1.html,Minister of Fisheries and Oceans; Minister of the Environment,2025-05-05
14,Federal,Regulations,Fisheries Act,Aquatic Invasive Species Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2015-121/page-1.html,Minister of Fisheries and Oceans; Minister of the Environment,2025-05-05
16,Federal,Regulations,Fisheries Act,Authorizations Concerning Fish and Fish Habitat Protection Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-286/page-1.html,Minister of Fisheries and Oceans; Minister of the Environment,2025-05-05
20,Federal,Regulations,Fisheries Act,"British Columbia Sport Fishing Regulations, 1996",https://laws-lois.justice.gc.ca/eng/regulations/SOR-96-137/page-1.html,Minister of Fisheries and Oceans; Minister of the Environment,2025-05-05
43,Federal,Regulations,Fisheries Act,Deposit Out of the Normal Course of Events Notification Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2011-91/page-1.html,Minister of Fisheries and Oceans; Minister of the Environment,2025-09-29
