paragraph_id,actionable_type,responsible_official,discretion_type
13525,permit,Minister,discretionary
13554,order; order_in_council; designation; report,governor; Officer,discretionary; mandatory
13556,,Minister,mandatory
13624,regulation; order_in_council,Agency; agency; Committee; Department; governor; Minister; Province,discretionary; mandatory
13648,regulation; order_in_council,Agency; agency; Committee; Department; governor; Minister; Province,discretionary; mandatory
13926,regulation; authorization; permit; authorization,Minister,discretionary
13927,permit,Minister,mandatory
13928,authorization; permit; authorization,Minister,discretionary
13929,order_in_council; agreement; approval,governor; Minister,discretionary
13935,,Minister,discretionary; mandatory
13975,guideline,Minister,discretionary
13976,,Agency; agency; Committee; Department; Minister; Province,discretionary; mandatory
14097,guideline,Minister,mandatory
14102,regulation; order_in_council,governor; Minister,discretionary
14235,,Officer,mandatory
14307,order; code; notice,Minister,discretionary
14335,,Officer,discretionary
14347,,Minister,discretionary; mandatory
14369,regulation; order,Commission; Officer,discretionary
14451,review,Chief; Minister; Officer,mandatory
14457,review,Officer,discretionary
14475,order; review,Officer,discretionary
14668,regulation; authorization; authorization,Minister,discretionary
14884,,Minister,discretionary
14889,,Minister,discretionary
14894,order_in_council,governor; Minister; ministers,mandatory
14895,,Minister,discretionary
14896,notice,Minister,mandatory
14904,report,Minister,mandatory
14917,,Agency; agency; Committee; Department; Minister; Province,discretionary; mandatory
12732,plan; study,Agency; agency; Department; Institution; Minister,discretionary
12733,study,ministers,mandatory
12734,study,ministers,mandatory
12740,guideline; notice; report,Minister,discretionary
12769,,Agency; agency; Committee; Department; Minister; Province,discretionary; mandatory
12538,framework,ministers,mandatory
12791,,Minister,mandatory
12801,,Agency; agency; Committee; Department; Minister; Province,discretionary; mandatory
12804,guideline,Minister,discretionary; mandatory
12549,regulation,Advisory; Committee; Minister,mandatory
12832,plan; notice,Minister,discretionary; mandatory
12836,,Agency; agency; Committee; Department; Minister; Province,discretionary; mandatory
12845,,Minister,mandatory
12848,,Minister,mandatory
12851,,Minister,mandatory
12852,,Minister,discretionary; mandatory
12853,,Minister,mandatory
12855,,Minister,discretionary
12859,,Minister,mandatory
12861,,Minister,discretionary
12862,notice,Minister,mandatory
12872,,Minister,discretionary
12897,,Agency; agency; Committee; Department; Minister; ministers; Province,discretionary; mandatory
12904,,Minister,discretionary
12925,,Minister; ministers,discretionary
12940,plan; report,ministers,mandatory
12945,,Minister,mandatory
12946,order; review,Minister; ministers; parliament,mandatory
12947,,Minister; ministers,discretionary; mandatory
12964,assessment; review,Minister; ministers,discretionary; mandatory
12972,,ministers,mandatory
12989,order,ministers,mandatory
13029,,Minister,discretionary
13033,order; assessment,ministers,mandatory
13034,order,ministers,mandatory
13039,,Minister; ministers,discretionary
13054,notice,Minister; ministers,discretionary
13066,,Minister,mandatory
13074,,Minister,mandatory
13075,,Minister,discretionary
13079,,Minister,discretionary
13085,,Minister,mandatory
13113,order; order_in_council,governor; ministers,discretionary
13114,regulation,ministers,mandatory
13115,,ministers,discretionary; mandatory
13116,regulation; order; order_in_council,governor; ministers,discretionary
13135,regulation; order_in_council,governor; ministers,discretionary
13223,regulation,Minister,discretionary
15175,order; authorization; authorization; notice,Minister,discretionary; mandatory
15190,order,Minister,discretionary
15205,order,Minister,discretionary
15207,order,Minister,discretionary
15209,,Minister,discretionary
15212,order,Minister,discretionary
15228,order; order_in_council; exemption,governor; Minister,discretionary
15240,regulation; order_in_council; designation,governor,discretionary
15294,order,Minister,discretionary
15303,regulation; order; order_in_council,governor; Minister,discretionary
15663,,Minister; Officer,discretionary; mandatory
15680,order; code,Officer,discretionary
15691,regulation; designation; agreement,Board; Officer,discretionary
15692,,Officer,discretionary
15693,agreement,Officer,mandatory
15694,regulation; agreement,Officer,discretionary
15695,order; code,Officer,discretionary
15701,,Minister,discretionary
15708,agreement,Minister,discretionary
15709,,Agency; agency; Minister,discretionary
15619,regulation,Board; Officer,discretionary
15632,authorization; authorization,Board; Officer,discretionary
15636,regulation,Officer,discretionary; mandatory
15642,designation; agreement,Officer,discretionary
15646,authorization; code; authorization,Board; Officer,discretionary
15651,regulation,Officer,discretionary
15658,authorization; code; authorization,Officer,discretionary
20204,,Commission; Department; Minister,mandatory
20206,order_in_council,Department; governor; Minister; Office; Officer,discretionary
20219,,Commission; Department; Minister,mandatory
20221,order_in_council,Department; governor; Minister; Office; Officer,discretionary
20237,regulation; order; order_in_council; guideline; approval,governor; Minister,discretionary
20267,,inspector,discretionary
20271,authorization; authorization,inspector,discretionary
20278,,inspector,discretionary
20285,regulation; standard; approval,inspector,mandatory
20294,order; notice,inspector,discretionary
20299,order; authorization; authorization,inspector,discretionary
20335,order,Commission; Minister,discretionary
20667,agreement,Minister,discretionary
20636,regulation,Minister,discretionary; mandatory
21728,order_in_council; notice,governor; Lieutenant,discretionary
21838,order_in_council,governor; Lieutenant,discretionary
21848,order_in_council,governor; Lieutenant,discretionary
21873,order_in_council,commissioner; governor; Lieutenant; Office,discretionary
21910,order; order_in_council,governor; inspector; Lieutenant,discretionary
21545,,commissioner,discretionary; mandatory
21595,order_in_council,commissioner; governor; Lieutenant,discretionary
21620,approval,Comptroller,discretionary
22114,,Officer,discretionary
22132,,Officer,discretionary; mandatory
22135,designation,Officer,discretionary; mandatory
22026,order,Minister,discretionary
22028,regulation,Officer,discretionary
22324,regulation; order_in_council; plan; designation,governor; Lieutenant,discretionary
22080,permit,Officer,discretionary; mandatory
22085,order; report,Officer,discretionary
22553,order; order_in_council,governor; Lieutenant,discretionary
22556,order; order_in_council; reserve,governor; Lieutenant,discretionary
22558,order; order_in_council; reserve,governor; Lieutenant,discretionary
22564,regulation; authorization; reserve; permit; authorization,Minister,discretionary
22571,regulation; reserve; permit,Minister,discretionary
22572,regulation,Minister,discretionary
22574,designation,Minister,discretionary
22575,designation,Minister,discretionary
22587,certificate,Minister,discretionary; mandatory
22639,reserve,Minister,discretionary
22947,designation,Minister,mandatory
22948,,Minister,mandatory
24021,regulation; certificate,Minister,discretionary
24084,regulation; certificate,Minister,discretionary
